total_cases,accuracy,recall,avg_num_diagnoses,avg_confidence,top1_accuracy,top1_confidence,top3_accuracy,top3_confidence,top5_accuracy,top5_confidence,top7_accuracy,top7_confidence,bucket
171,0.631578947368421,0.12280701754385964,3.8771929824561404,15.7890559732665,0.0,81.9298245614035,0.0,101.09356725146199,0.0,107.51929824561402,0.0,110.5233918128655,Unknown
37,0.40540540540540543,0.10810810810810811,3.891891891891892,14.61003861003861,0.0,78.64864864864865,0.0,95.21621621621621,0.0,99.52162162162162,0.0,102.27027027027027,Non-drug User
6,0.8333333333333334,0.16666666666666666,4.666666666666667,14.285714285714286,0.0,80.0,0.0,93.33333333333333,0.0,97.25,0.0,100.0,Drug User
