total_cases,accuracy,recall,avg_num_diagnoses,avg_confidence,top1_accuracy,top1_confidence,top3_accuracy,top3_confidence,top5_accuracy,top5_confidence,top7_accuracy,top7_confidence,bucket
112,0.5982142857142857,0.14285714285714285,3.9910714285714284,15.53826530612245,0.0,81.83035714285714,0.0,99.84821428571429,0.0,105.70178571428572,0.0,108.76785714285714,0-10
9,0.5555555555555556,0.2222222222222222,3.5555555555555554,14.285714285714286,0.0,81.11111111111111,0.0,92.44444444444444,0.0,96.88888888888889,0.0,100.0,30-40
19,0.7894736842105263,0.05263157894736842,3.8421052631578947,15.789473684210526,0.0,84.21052631578948,0.0,101.63157894736842,0.0,108.34210526315789,0.0,110.52631578947368,50-60
20,0.65,0.15,3.5,15.392857142857142,0.0,82.25,0.0,98.65,0.0,105.025,0.0,107.75,60+
25,0.56,0.08,4.08,15.565714285714286,0.0,76.8,0.0,98.8,0.0,105.9,0.0,108.96,20-30
14,0.5714285714285714,0.0,3.7857142857142856,16.73469387755102,0.0,81.07142857142857,0.0,106.57142857142857,0.0,113.46428571428571,0.0,117.14285714285714,40-50
15,0.4,0.13333333333333333,3.8666666666666667,15.071428571428571,0.0,80.33333333333333,0.0,99.26666666666667,0.0,103.06666666666666,0.0,105.5,10-20
