total_cases,accuracy,recall,avg_num_diagnoses,avg_confidence,top1_accuracy,top1_confidence,top3_accuracy,top3_confidence,top5_accuracy,top5_confidence,top7_accuracy,top7_confidence,bucket
61,0.6557377049180327,0.08196721311475409,3.9836065573770494,14.784543325526933,0.0,81.22950819672131,0.0,97.19672131147541,0.0,101.2016393442623,0.0,103.49180327868852,Drinker
117,0.6153846153846154,0.15384615384615385,3.9743589743589745,15.86019536019536,0.0,82.09401709401709,0.0,101.11111111111111,0.0,107.97692307692307,0.0,111.02136752136752,Unknown
36,0.4444444444444444,0.08333333333333333,3.5277777777777777,15.797619047619047,0.0,78.88888888888889,0.0,100.30555555555556,0.0,106.80555555555556,0.0,110.58333333333333,Non-drinker
